,age,note_rate,wam,coupon,agency,curr_bal,maturity_date,term
31418EJF8,2.0,5.92,357.0,5.0,UMBS,1520119774.0,2052-09-01,359.0
31418EHT0,3.0,4.724,175.0,4.0,UMBS,115666219.5,2037-08-01,178.0
31418EHP8,3.0,5.894,356.0,5.0,UMBS,623476678.5,2052-08-01,359.0
31418EHK9,2.0,5.453,357.0,4.5,UMBS,963645053.7,2052-09-01,359.0
31418EHJ2,2.0,4.97,357.0,4.0,UMBS,340992128.8,2052-09-01,359.0
31418EHC7,2.0,4.765,175.0,4.0,UMBS,79155090.73,2037-09-01,177.0
31418EHB9,2.0,4.294,176.0,3.5,UMBS,157989836.9,2037-09-01,178.0
31418EGX2,4.0,4.746,174.0,4.0,UMBS,71278642.8,2037-07-01,178.0
31418EGT1,4.0,5.851,355.0,5.0,UMBS,154469841.8,2052-07-01,359.0
31418EGK0,3.0,5.436,355.0,4.5,UMBS,5050960132.0,2052-08-01,358.0
31418EGJ3,3.0,4.902,355.0,4.0,UMBS,2946656136.0,2052-08-01,358.0
31418EGH7,4.0,4.137,355.0,3.5,UMBS,1018816450.0,2052-08-01,359.0
31418EGC8,3.0,4.262,175.0,3.5,UMBS,538642411.1,2037-08-01,178.0
31418EGB0,3.0,3.79,175.0,3.0,UMBS,257491984.0,2037-08-01,178.0
31418EFH8,4.0,4.184,174.0,3.5,UMBS,344058761.0,2037-07-01,178.0
31418EFG0,4.0,3.689,174.0,3.0,UMBS,310635312.9,2037-07-01,178.0
31418EFF2,4.0,3.129,174.0,2.5,UMBS,155224845.7,2037-07-01,178.0
31418EF47,5.0,5.808,354.0,5.0,UMBS,91788886.44,2052-06-01,359.0
31418EF21,5.0,5.324,354.0,4.5,UMBS,272761766.2,2052-06-01,359.0
31418EES5,6.0,4.679,353.0,4.0,UMBS,448667999.3,2052-05-01,359.0
31418EEB2,5.0,3.683,174.0,3.0,UMBS,529685481.9,2037-06-01,179.0
31418EEA4,5.0,3.129,174.0,2.5,UMBS,449715189.2,2037-06-01,179.0
31418EE63,4.0,5.408,354.0,4.5,UMBS,3171860727.0,2052-07-01,358.0
31418EE55,4.0,4.902,354.0,4.0,UMBS,4969596711.0,2052-07-01,358.0
31418EE48,5.0,4.204,354.0,3.5,UMBS,2250765291.0,2052-07-01,359.0
31418EDJ6,6.0,3.608,173.0,3.0,UMBS,68299022.95,2037-05-01,179.0
31418EDH0,6.0,3.122,173.0,2.5,UMBS,597805960.4,2037-05-01,179.0
31418EDG2,6.0,2.695,173.0,2.0,UMBS,228394372.9,2037-05-01,179.0
31418EDE7,6.0,4.24,353.0,3.5,UMBS,3194734477.0,2052-05-01,359.0
31418EDD9,6.0,3.814,353.0,3.0,UMBS,4910451001.0,2052-05-01,359.0
31418EDC1,6.0,3.363,352.0,2.5,UMBS,648911001.5,2052-05-01,358.0
31418ED98,5.0,2.698,174.0,2.0,UMBS,200283220.0,2037-06-01,179.0
31418ED80,5.0,4.81,354.0,4.0,UMBS,2385639477.0,2052-06-01,359.0
31418ED72,5.0,4.17,353.0,3.5,UMBS,5407632919.0,2052-06-01,358.0
31418ED64,5.0,3.654,353.0,3.0,UMBS,666839275.9,2052-06-01,358.0
31418ECV0,7.0,3.078,172.0,2.5,UMBS,576503275.3,2037-04-01,179.0
31418ECU2,7.0,2.659,172.0,2.0,UMBS,1027447204.0,2037-04-01,179.0
31418ECT5,8.0,2.215,171.0,1.5,UMBS,468923430.3,2037-04-01,179.0
31418ECS7,6.0,4.283,352.0,3.5,UMBS,70632757.76,2052-04-01,358.0
31418ECR9,7.0,3.836,352.0,3.0,UMBS,8275371469.0,2052-04-01,359.0
